Date,Open,High,Low,Close,Adj Close,Volume
2009-05-29,3.760000,3.800000,3.700000,3.700000,2.643669,136846800
2009-06-01,3.760000,3.820000,3.720000,3.820000,2.729410,171633000
2009-06-02,3.820000,3.880000,3.720000,3.720000,2.657959,251376100
2009-06-03,3.780000,3.780000,3.640000,3.680000,2.629379,147603000
2009-06-04,3.680000,3.720000,3.640000,3.700000,2.643669,106617800
2009-06-05,3.700000,3.840000,3.700000,3.780000,2.700830,273696600
2009-06-08,3.760000,3.800000,3.680000,3.700000,2.643669,118209100
2009-06-09,3.700000,3.740000,3.660000,3.720000,2.657959,48248500
2009-06-10,3.760000,3.820000,3.740000,3.800000,2.715120,200505400
2009-06-11,3.840000,4.000000,3.820000,3.860000,2.757990,489968400
2009-06-12,3.940000,3.960000,3.820000,3.860000,2.757990,167202400
2009-06-15,3.840000,3.840000,3.680000,3.700000,2.643669,113258200
2009-06-16,3.640000,3.660000,3.600000,3.620000,2.586509,75189300
2009-06-17,3.540000,3.620000,3.480000,3.480000,2.486479,87233800
2009-06-18,3.460000,3.500000,3.220000,3.260000,2.329288,80398700
2009-06-19,3.300000,3.380000,3.280000,3.360000,2.400738,88134300
2009-06-22,3.380000,3.400000,3.260000,3.260000,2.329288,53862200
2009-06-23,3.040000,3.140000,3.040000,3.140000,2.243547,88618400
2009-06-24,3.140000,3.220000,3.100000,3.200000,2.286417,89881200
2009-06-25,3.220000,3.280000,3.180000,3.240000,2.314998,98199600
2009-06-26,3.300000,3.340000,3.240000,3.260000,2.329288,71604200
2009-06-29,3.260000,3.320000,3.240000,3.320000,2.372158,32456100
2009-06-30,3.360000,3.380000,3.240000,3.240000,2.314998,70560600
2009-07-02,3.280000,3.280000,3.120000,3.160000,2.257837,51733600
2009-07-03,3.120000,3.160000,3.100000,3.160000,2.257837,19692000
2009-07-06,3.160000,3.160000,3.160000,3.160000,2.257837,0
2009-07-08,3.080000,3.100000,3.040000,3.080000,2.200676,43756000
2009-07-09,3.080000,3.120000,3.040000,3.100000,2.214966,23248000
2009-07-10,3.080000,3.100000,3.020000,3.020000,2.157806,31846300
2009-07-13,3.000000,3.040000,2.980000,3.020000,2.157806,23528800
2009-07-14,3.080000,3.100000,3.040000,3.080000,2.200676,32723100
2009-07-15,3.100000,3.240000,3.080000,3.240000,2.314998,107759000
2009-07-16,3.300000,3.320000,3.200000,3.200000,2.286417,68854700
2009-07-17,3.240000,3.320000,3.220000,3.300000,2.357867,43217400
2009-07-20,3.360000,3.460000,3.340000,3.440000,2.457898,96541000
2009-07-21,3.420000,3.540000,3.400000,3.440000,2.457898,105473200
2009-07-22,3.500000,3.520000,3.300000,3.320000,2.372158,100841200
2009-07-23,3.380000,3.420000,3.360000,3.400000,2.429318,34891000
2009-07-24,3.460000,3.480000,3.380000,3.440000,2.457898,58271500
2009-07-27,3.480000,3.560000,3.440000,3.460000,2.472188,85283200
2009-07-28,3.440000,3.500000,3.420000,3.440000,2.457898,28206800
2009-07-29,3.420000,3.440000,3.340000,3.380000,2.415028,34979100
2009-07-30,3.360000,3.420000,3.340000,3.420000,2.443608,33543600
2009-07-31,3.460000,3.480000,3.400000,3.420000,2.443608,57249000
2009-08-03,3.440000,3.480000,3.420000,3.480000,2.486479,47518600
2009-08-04,3.500000,3.540000,3.420000,3.420000,2.443608,78880200
2009-08-05,3.460000,3.480000,3.380000,3.420000,2.443608,31205800
2009-08-06,3.400000,3.500000,3.380000,3.480000,2.486479,53730900
2009-08-07,3.440000,3.460000,3.380000,3.400000,2.429318,35562400
2009-08-10,3.440000,3.460000,3.380000,3.380000,2.415028,27231100
2009-08-11,3.400000,3.400000,3.360000,3.380000,2.415028,21748600
2009-08-13,3.400000,3.500000,3.380000,3.500000,2.500768,60796600
2009-08-14,3.480000,3.480000,3.440000,3.480000,2.486479,38635300
2009-08-17,3.400000,3.440000,3.280000,3.320000,2.372158,61657000
2009-08-18,3.320000,3.340000,3.240000,3.340000,2.386448,26955300
2009-08-19,3.340000,3.340000,3.280000,3.300000,2.357867,38320000
2009-08-20,3.340000,3.420000,3.340000,3.380000,2.415028,45614400
2009-08-21,3.380000,3.420000,3.360000,3.400000,2.429318,36070100
2009-08-24,3.460000,3.500000,3.440000,3.440000,2.457898,69342800
2009-08-25,3.400000,3.460000,3.400000,3.440000,2.457898,29821000
2009-08-26,3.500000,3.860000,3.500000,3.840000,2.743701,604454700
2009-08-27,3.900000,3.940000,3.760000,3.780000,2.700830,389344200
2009-08-28,3.800000,3.900000,3.700000,3.900000,2.786570,242535200
2009-08-31,3.860000,3.900000,3.800000,3.840000,2.743701,201696400
2009-09-01,3.860000,3.920000,3.840000,3.840000,2.743701,185807100
2009-09-02,3.800000,3.840000,3.800000,3.840000,2.743701,99934900
2009-09-03,3.800000,3.880000,3.780000,3.860000,2.816671,75944500
2009-09-04,3.900000,4.200000,3.860000,4.140000,3.020989,495497300
2009-09-07,4.200000,4.420000,4.180000,4.400000,3.210713,482153800
2009-09-08,4.480000,4.480000,4.320000,4.340000,3.166930,437903200
2009-09-09,4.360000,4.380000,4.240000,4.320000,3.152337,193647700
2009-09-10,4.380000,4.400000,4.280000,4.280000,3.123149,209441200
2009-09-11,4.340000,4.420000,4.320000,4.320000,3.152337,270482000
2009-09-14,4.280000,4.300000,4.100000,4.100000,2.991801,174975600
2009-09-15,4.140000,4.360000,4.140000,4.340000,3.166930,232821300
2009-09-16,4.400000,4.420000,4.320000,4.360000,3.181525,157630800
2009-09-17,4.400000,4.420000,4.240000,4.300000,3.137743,135386200
2009-09-18,4.300000,4.340000,4.260000,4.340000,3.166930,76998500
2009-09-21,4.320000,4.380000,4.300000,4.300000,3.137743,79995900
2009-09-22,4.320000,4.540000,4.300000,4.540000,3.312872,397631800
2009-09-23,4.580000,4.580000,4.440000,4.480000,3.269089,376045000
2009-09-24,4.440000,4.520000,4.420000,4.520000,3.298278,166842300
2009-09-25,4.480000,4.720000,4.460000,4.560000,3.327467,460874100
2009-09-28,4.520000,4.560000,4.360000,4.440000,3.239901,159226600
2009-09-29,4.500000,4.520000,4.400000,4.420000,3.225307,109082500
2009-09-30,4.300000,4.380000,4.280000,4.340000,3.166930,138839000
2009-10-01,4.360000,4.420000,4.360000,4.360000,3.181525,100837000
2009-10-02,4.320000,4.380000,4.280000,4.340000,3.166930,109012800
2009-10-05,4.360000,4.360000,4.260000,4.260000,3.108555,55914500
2009-10-06,4.300000,4.400000,4.260000,4.380000,3.196119,105861400
2009-10-07,4.420000,4.440000,4.360000,4.360000,3.181525,110275700
2009-10-08,4.400000,4.420000,4.340000,4.380000,3.196119,66969700
2009-10-09,4.420000,4.420000,4.360000,4.360000,3.181525,68936300
2009-10-12,4.320000,4.360000,4.320000,4.340000,3.166930,41123800
2009-10-13,4.340000,4.400000,4.280000,4.280000,3.123149,71538000
2009-10-14,4.340000,4.340000,4.040000,4.180000,3.050177,109660000
2009-10-15,4.220000,4.240000,3.560000,3.800000,2.772889,198145400
2009-10-16,3.860000,3.960000,3.780000,3.920000,2.860453,163041800
2009-10-19,3.960000,4.160000,3.900000,4.140000,3.020989,155140400
2009-10-20,4.220000,4.300000,4.140000,4.200000,3.064772,248267400
2009-10-21,4.180000,4.200000,4.080000,4.080000,2.977206,111058500
2009-10-22,4.040000,4.060000,3.940000,4.000000,2.918830,114991400
2009-10-26,4.060000,4.080000,4.000000,4.040000,2.948018,45550200
2009-10-27,3.980000,4.080000,3.980000,4.080000,2.977206,55409500
2009-10-28,4.040000,4.060000,3.980000,3.980000,2.904236,49121000
2009-10-29,3.920000,3.980000,3.900000,3.940000,2.875048,52436200
2009-10-30,4.000000,4.000000,3.840000,3.840000,2.802077,66139200
2009-11-02,3.780000,3.820000,3.720000,3.800000,2.772889,61344000
2009-11-03,3.780000,3.860000,3.740000,3.760000,2.743701,62269800
2009-11-04,3.800000,3.880000,3.780000,3.880000,2.831265,64059400
2009-11-05,3.820000,3.900000,3.800000,3.820000,2.787483,41387100
2009-11-06,3.960000,3.980000,3.920000,3.960000,2.889642,85649700
2009-11-09,4.000000,4.160000,3.960000,4.140000,3.020989,156242700
2009-11-10,4.120000,4.140000,4.020000,4.040000,2.948018,135521500
2009-11-11,4.080000,4.160000,4.040000,4.160000,3.035583,110796700
2009-11-12,4.140000,4.160000,3.960000,3.960000,2.889642,143168600
2009-11-13,4.000000,4.000000,3.900000,3.960000,2.889642,49820600
2009-11-16,4.000000,4.060000,3.960000,4.020000,2.933424,54383600
2009-11-17,4.040000,4.060000,3.980000,3.980000,2.904236,44175200
2009-11-18,4.020000,4.040000,3.980000,4.000000,2.918830,34449500
2009-11-19,3.980000,4.000000,3.860000,3.900000,2.845859,79115400
2009-11-20,3.880000,3.920000,3.860000,3.900000,2.845859,23265100
2009-11-23,3.900000,3.940000,3.800000,3.880000,2.831265,25226000
2009-11-24,3.860000,3.900000,3.760000,3.760000,2.743701,36043400
2009-11-25,3.780000,3.900000,3.760000,3.900000,2.845859,79521000
2009-11-26,3.860000,3.880000,3.780000,3.800000,2.772889,32370300
2009-11-27,3.700000,3.760000,3.680000,3.720000,2.714512,62909900
2009-11-30,3.780000,3.820000,3.720000,3.720000,2.714512,42558100
2009-12-01,3.760000,4.000000,3.760000,4.000000,2.918830,168156000
2009-12-02,4.020000,4.100000,3.920000,4.000000,2.918830,263498900
2009-12-03,4.040000,4.300000,4.020000,4.300000,3.137743,358522800
2009-12-04,4.240000,4.440000,4.220000,4.400000,3.210713,378115900
2009-12-08,4.380000,4.460000,4.360000,4.380000,3.196119,160878500
2009-12-09,4.360000,4.360000,4.200000,4.300000,3.137743,173362200
2009-12-11,4.360000,4.380000,4.280000,4.320000,3.152337,110257000
2009-12-14,4.280000,4.340000,4.220000,4.240000,3.093960,118155100
2009-12-15,4.260000,4.360000,4.260000,4.280000,3.123149,69453700
2009-12-16,4.300000,4.420000,4.300000,4.400000,3.210713,154389800
2009-12-17,4.400000,4.440000,4.320000,4.340000,3.166930,77866800
2009-12-18,4.320000,4.380000,4.300000,4.360000,3.181525,47849600
2009-12-21,4.380000,4.400000,4.340000,4.340000,3.166930,39196200
