"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2019","1.397","1.371","1.397","1.367","0.15K","3.48%"
"May 23, 2019","1.350","1.399","1.399","1.341","0.26K","-1.24%"
"May 22, 2019","1.367","1.392","1.404","1.362","0.52K","-1.80%"
"May 21, 2019","1.392","1.399","1.411","1.384","0.42K","0.87%"
"May 20, 2019","1.380","1.365","1.388","1.365","0.31K","1.17%"
"May 17, 2019","1.364","1.359","1.373","1.348","0.30K","1.64%"
"May 16, 2019","1.342","1.329","1.353","1.329","0.22K","0.98%"
"May 15, 2019","1.329","1.348","1.365","1.324","0.21K","-0.30%"
"May 14, 2019","1.333","1.317","1.350","1.317","0.25K","2.15%"
"May 13, 2019","1.305","1.297","1.309","1.276","0.31K","0.38%"
"May 10, 2019","1.300","1.301","1.305","1.280","0.31K","0.00%"
"May 09, 2019","1.300","1.308","1.312","1.288","0.24K","-1.81%"
"May 08, 2019","1.324","1.332","1.333","1.316","0.09K","-0.60%"
"May 07, 2019","1.332","1.318","1.335","1.316","0.22K","0.53%"
"May 06, 2019","1.325","1.326","1.326","1.300","0.19K","0.45%"
"May 03, 2019","1.319","1.319","1.319","1.319","-","0.00%"
"May 02, 2019","1.319","1.319","1.319","1.319","0.02K","0.53%"
"May 01, 2019","1.312","1.299","1.325","1.299","0.01K","-0.61%"
"Apr 30, 2019","1.320","1.334","1.334","1.310","0.03K","-1.20%"
"Apr 29, 2019","1.336","1.347","1.347","1.332","0.07K","-0.45%"
"Apr 26, 2019","1.342","1.335","1.357","1.334","0.11K","1.98%"
"Apr 25, 2019","1.316","1.293","1.318","1.285","0.16K","1.00%"
"Apr 24, 2019","1.303","1.339","1.340","1.301","0.17K","-2.10%"
"Apr 23, 2019","1.331","1.355","1.355","1.326","0.13K","-0.22%"
"Apr 22, 2019","1.334","1.333","1.336","1.326","0.16K","0.08%"
"Apr 18, 2019","1.333","1.327","1.335","1.327","0.12K","0.08%"
"Apr 17, 2019","1.332","1.324","1.337","1.315","0.12K","0.68%"
"Apr 16, 2019","1.323","1.327","1.337","1.321","0.18K","-0.90%"
"Apr 15, 2019","1.335","1.333","1.338","1.321","0.24K","0.38%"
"Apr 12, 2019","1.330","1.338","1.340","1.323","0.22K","-0.52%"
"Apr 11, 2019","1.337","1.329","1.345","1.317","0.31K","0.75%"
"Apr 10, 2019","1.327","1.315","1.331","1.313","0.25K","1.45%"
"Apr 09, 2019","1.308","1.310","1.315","1.300","0.19K","-0.53%"
"Apr 08, 2019","1.315","1.291","1.316","1.291","0.16K","1.00%"
